上海庄严寺	0 0 1 1 1
青龙瀑布景区	1 1 1 1 0 0
古刹泗洲寺	0 0 1 1 1
永福寿安寺	0 0 1 1 1
张掖七彩丹霞旅游景区七彩锦绣观景台麻子面馆	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1
庐山国家级旅游风景名胜区-乌龙潭	0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1
八达岭长城北八楼	0 0 0 0 0 1 1 1
杭州西湖风景名胜区-御码头	0 0 0 0 0 0 0 0 0 0 1 1 1
高成观星台	0 0 1 1 1
朝阳文化广场	1 1 0 0 1 1
楠溪江九漈石门台景区	0 0 0 0 0 1 1 1 0 0
六祖惠能故居	1 1 0 0 1 1
淄博临淄管仲纪念馆	0 0 0 0 1 1 1 1 1
遵义纪念公园	0 0 1 1 1 1
六合凤凰山公园	0 0 1 1 0 1 1
神龙公园变形金刚互动艺术展	0 0 0 0 1 1 1 1 1 1 1 1 1
晋愉公园双山公园	0 0 0 0 1 1 0 0
黄鹤楼公园-白云阁	0 0 0 0 0 0 1 1 1
明道堂	1 1 1
华山风景名胜区-下棋亭	0 0 0 0 0 0 0 0 1 1 1
芒山寺-真华老和尚纪念堂	0 0 0 0 1 1 1 1 1 1 1 1
世外桃源景区	1 1 1 1 0 0
宁波福泉禅寺	0 0 1 1 1 1
五华双龙山旅游景区	1 1 1 1 1 0 0 0 0
天津之眼摩天轮景区	1 1 1 1 0 0 0 0 0
厦门市鼓浪屿风景名胜区日光岩顶峰	0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1
戛姆山	1 1 1
汉中薰衣草庄园	1 1 1 1 1 1 1
鹭鸟天堂	1 1 1 1
客家公园东山大道	1 1 1 1 0 0 0 0
五大连池风景区熔岩裂缝	0 0 0 0 0 0 0 1 1 1 1
石鼓香溪	1 1 1 1
公主府公园呼和浩特公主府公园	1 1 1 1 1 0 0 0 0 0 0 0 0 0
古运河风景区	1 1 1 1 1 1
三元阁市场店	1 1 1 0 0 0
酌江溶洞	1 1 1 1
安徽名人馆	0 0 1 1 1
巴王海	1 1 1
海云星自在岛温泉	1 1 1 0 0 0 1 1
五龙潭公园-集英	0 0 0 0 0 0 1 1
东峰林景区	1 1 1 1 1
济南市市中区基督教井家沟聚会点	0 0 1 0 1 1 1 1 1 1 1 1 1 1 1
九龙瀑布群风景区	1 1 1 1 0 0 0 0
羑里城	1 1 1
上海战役总前委旧址纪念馆	0 0 0 0 1 1 1 1 1 1 1 1
咸丰望城楼	0 0 1 1 1
常德博物馆	1 1 1 1 1
万憬温泉	1 1 1 1
青岛金山滑雪场	0 0 1 1 1 1 1
北京市中国传媒大学中国广告博物馆	0 0 0 1 1 0 0 0 0 0 0 1 1 1 1 1
生态植物园	1 1 1 1 1
大洪山漂流	1 1 1 1 1
保定农业生态园	1 1 1 1 1 1 1
南山大小洞天旅游区洞天福地	0 0 0 0 1 1 0 0 0 0 0 1 1
赵云庙赵云故里	1 1 1 0 0 0 0
高县流米寺	0 0 1 1 1
玉林石嶷文塔	0 0 1 1 1 1
诸暨市西天寺	1 1 1 1 1 1
西海湾景区	1 1 1 1 1
青龙山熊河风景区	1 1 1 1 1 0 0 0
仙华山风景名胜区	1 1 1 0 1 0 0 1
上海美术电影制片厂	1 0 1 0 0 1 0 0 0
烈士纪念馆	1 1 1 1 1
南山文化旅游区梵钟苑	0 0 0 0 0 0 0 1 1 1
桃花源景区	1 1 1 0 0
杭州野生动物世界-懒猴	0 0 0 0 0 0 0 0 0 1 1
太平桥公园新天地太平湖	1 1 1 1 1 0 0 0 0 0 0
北京崔永平皮影艺术博物馆	0 0 1 1 1 1 1 1 1 1 1 1
白水寨景区	1 1 1 0 0
晋阳湖公园	1 1 1 0 0
吉兆湾国际旅游度假区	1 1 1 0 0 0 0 0 0 0
大唐芙蓉园-芙蓉湖	0 0 1 1 0 0 0 0 1
太平国家森林公园(暂停营业)	1 1 0 0 1 1 1 1 0 0 0 0 0 0
古水北镇潮河第一营	0 0 0 0 1 1 1 1 1
灵栖胜境-清风洞	0 0 0 0 0 1 1 1
老虎山森林公园	0 1 1 0 0 1 1
大明文化园	1 1 1 1 1
中岩寺风景区	1 1 0 0 0 0
金山滨海公园	0 0 1 1 1 1
涉县盘龙山庄	0 0 1 1 1 1
绵阳童梦欢乐小屋	0 0 1 1 1 1 1 1
白庙子水库生态湿地公园	0 0 0 0 0 0 0 1 1 1 1
上海交通大学植物园(西门)	1 1 1 1 1 1 1 1 1 0 0 0 0
北京牛街礼拜寺	0 0 1 1 1 1 1
体育公园峄山北路	1 1 1 1 0 0 0 0
王屋山国家地质公园-迎恩宫	0 0 0 0 0 0 0 0 0 0 1 1 1
峨眉山清音仙境	0 0 0 1 1 1 1
金鹰国际海洋世界	1 1 1 1 1 1 1 1
瑶湾景区	1 1 0 0
龙门石窟看经寺	0 0 0 0 1 1 1
李纯祠堂南开人民文化宫	1 1 1 1 0 0 0 0 0 0 0
九龙湖太阳岛	1 1 1 1 1 1
金圃宅第	1 1 1 1
崆峒山国家地质公园-观音阁	0 0 0 0 0 0 0 0 0 0 1 1 1
昆明宝珠寺	0 0 1 1 1
吴忠博物馆	1 1 1 1 1
浮梁古县衙浮梁古城	1 1 1 0 0 0 0 0 1
水上茶乡九鹏溪	0 0 0 0 1 1 1
杭州西湖风景名胜区-逍遥坡	0 0 0 0 0 0 0 0 0 0 1 1 1
梅庄黄公祠东江纵队宝三区联乡办事处旧址	1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0
田家沟生态风景区	1 1 1 1 1 0 0 0
老舍故居大学路	1 1 1 1 0 0 0
西山省级风景名胜区	0 0 0 0 0 1 0 0 1
兰州东岗小游园	0 0 1 1 1 1 1
万寿宝塔	1 1 1 1
天津水西公园	0 0 1 1 1 1
